Gospel	ID	Verse number according to Christodouloupoulos and Steedman (2015)	Marker GRC	Marker LA	Context GRC	Context LA	Implicit GRC	Implicit LA	Utterance GRC	Utterance LA	Polarity GRC	Polarity LA	SoA	Dinamicity	Control	Ambiguous modal reading	Modal type	Notional domain	Subtype / degree	Inevitability / prospective	Function	Synoptic
 mark	mk14_63	b.MAR.14.63	χρείαν ἔχω	not preselected	ὁ δὲ ἀρχιερεὺς διαρρήξας τοὺς χιτῶνας αὐτοῦ λέγει· τί ἔτι χρείαν ἔχομεν μαρτύρων ;	summus autem sacerdos scindens vestimenta sua ait quid adhuc desideramus testes	false	false	interrogative		affirmative		false			false	dynamic	necessity	situational			
 mark	mk12_14b	b.MAR.12.14	ἔξεστι	not preselected	καὶ ἐλθόντες λέγουσιν αὐτῷ· διδάσκαλε, οἴδαμεν ὅτι ἀληθὴς εἶ καὶ οὐ μέλει σοι περὶ οὐδενός· οὐ γὰρ βλέπεις εἰς πρόσωπον ἀνθρώπων, ἀλλ’ ἐπ’ ἀληθείας τὴν ὁδὸν τοῦ θεοῦ διδάσκεις· ἔξεστιν δοῦναι κῆνσον Καίσαρι ἢ οὔ { ἔξεστιν δοῦναι κῆνσον Καίσαρι } ; δῶμεν ἢ μὴ δῶμεν;	qui venientes dicunt ei magister scimus quoniam verax es et non curas quemquam nec enim vides in faciem hominis sed in veritate viam Dei doces licet dari tributum Caesari an non dabimus	true	false	interrogative		negative		true	true	true	false	deontic	acceptability	absolutely necessary			sβ
 luke	lk05_31	b.LUK.5.31	χρείαν ἔχω	not preselected	καὶ ἀποκριθεὶς ὁ Ἰησοῦς εἶπεν πρὸς αὐτούς· οὐ χρείαν ἔχουσιν οἱ ὑγιαίνοντες ἰατροῦ ἀλλ’ οἱ κακῶς ἔχοντες·	et respondens Iesus dixit ad illos non egent qui sani sunt medico sed qui male habent	false	false	non-interrogative		negative		false			false	dynamic	necessity	participant-inherent			sα
 luke	lk12_04	b.LUK.12.4	ἔχω	not preselected	Λέγω δὲ ὑμῖν τοῖς φίλοις μου, μὴ φοβηθῆτε ἀπὸ τῶν ἀποκτεινόντων τὸ σῶμα καὶ μετὰ ταῦτα μὴ ἐχόντων περισσότερόν τι ποιῆσαι .	dico autem vobis amicis meis ne terreamini ab his qui occidunt corpus et post haec non habent amplius quod faciant	false	false	non-interrogative		negative		true	true	true	false	dynamic	possibility	participant-inherent			
 luke	lk07_42	b.LUK.7.42	ἔχω	not preselected	μὴ ἐχόντων αὐτῶν ἀποδοῦναι ἀμφοτέροις ἐχαρίσατο. τίς οὖν αὐτῶν πλεῖον ἀγαπήσει αὐτόν ;	non habentibus illis unde redderent donavit utrisque quis ergo eum plus diliget	false	false	non-interrogative		negative		true	true	true	false	dynamic	possibility	participant-imposed			
 luke	lk12_30	b.LUK.12.30	χρῄζω	not preselected	ταῦτα γὰρ πάντα τὰ ἔθνη τοῦ κόσμου ἐπιζητοῦσιν, ὑμῶν δὲ ὁ πατὴρ οἶδεν ὅτι χρῄζετε τούτων .	haec enim omnia gentes mundi quaerunt Pater autem vester scit quoniam his indigetis	false	false	non-interrogative		affirmative		false			false	dynamic	necessity	participant-inherent			
 luke	lk14_03b	b.LUK.14.3	ἔξεστι	not preselected	καὶ ἀποκριθεὶς ὁ Ἰησοῦς εἶπεν πρὸς τοὺς νομικοὺς καὶ Φαρισαίους λέγων· ἔξεστιν τῷ σαββάτῳ θεραπεῦσαι ἢ οὔ { ἔξεστιν τῷ σαββάτῳ θεραπεῦσαι } ;	et respondens Iesus dixit ad legis peritos et Pharisaeos dicens si licet sabbato curare	true	false	interrogative		negative		true	true	true	false	deontic	authority	permission			
 luke	lk15_07	b.LUK.15.7	χρείαν ἔχω	not preselected	λέγω ὑμῖν ὅτι οὕτως χαρὰ ἐν τῷ οὐρανῷ ἔσται ἐπὶ ἑνὶ ἁμαρτωλῷ μετανοοῦντι ἢ ἐπὶ ἐνενήκοντα ἐννέα δικαίοις οἵτινες οὐ χρείαν ἔχουσιν μετανοίας .	dico vobis quod ita gaudium erit in caelo super uno peccatore paenitentiam habente quam super nonaginta novem iustis qui non indigent paenitentia	false	false	non-interrogative		negative		false			false	dynamic	necessity	participant-imposed			
 luke	lk09_11	b.LUK.9.11	χρείαν ἔχω	not preselected	οἱ δὲ ὄχλοι γνόντες ἠκολούθησαν αὐτῷ· καὶ ἀποδεξάμενος αὐτοὺς ἐλάλει αὐτοῖς περὶ τῆς βασιλείας τοῦ θεοῦ, καὶ τοὺς χρείαν ἔχοντας θεραπείας ἰᾶτο.	quod cum cognovissent turbae secutae sunt illum et excepit illos et loquebatur illis de regno Dei et eos qui cura indigebant sanabat	false	false	non-interrogative		affirmative		true	true	true	false	dynamic	necessity	participant-inherent			
 luke	lk22_71	b.LUK.22.71	χρείαν ἔχω	not preselected	οἱ δὲ εἶπαν· τί ἔτι ἔχομεν μαρτυρίας χρείαν ; αὐτοὶ γὰρ ἠκούσαμεν ἀπὸ τοῦ στόματος αὐτοῦ .	at illi dixerunt quid adhuc desideramus testimonium ipsi enim audivimus de ore eius	false	false	interrogative		affirmative		false			false	dynamic	necessity	participant-imposed		rhetoric	
