Gospel	Marker ID	Verse number according to Christodouloupoulos and Steedman (2015)	Marker GRC	Marker LA	Context GRC	Context LA	Pertinence GRC	Pertinence LA	Implicit GRC	Implicit LA	Synoptic
 john	jh01_12	b.JOH.1.12	ἐξουσία	potestas	ὅσοι δὲ ἔλαβον αὐτόν, ἔδωκεν αὐτοῖς ἐξουσίαν τέκνα θεοῦ γενέσθαι , τοῖς πιστεύουσιν εἰς τὸ ὄνομα αὐτοῦ,	quotquot autem receperunt eum dedit eis potestatem filios Dei fieri his qui credunt in nomine eius	true	true	false	false	 
 john	jh01_13	b.JOH.1.13	θέλημα	voluntas	οἳ οὐκ ἐξ αἱμάτων οὐδὲ ἐκ θελήματος σαρκὸς οὐδὲ ἐκ θελήματος ἀνδρὸς ἀλλ’ ἐκ θεοῦ ἐγεννήθησαν.	qui non ex sanguinibus neque ex voluntate carnis neque ex voluntate viri sed ex Deo nati sunt	false	false	false	false	 
 john	jh01_13b	b.JOH.1.13	θέλημα	voluntas	οἳ οὐκ ἐξ αἱμάτων οὐδὲ ἐκ θελήματος σαρκὸς οὐδὲ ἐκ θελήματος ἀνδρὸς ἀλλ’ ἐκ θεοῦ ἐγεννήθησαν.	qui non ex sanguinibus neque ex voluntate carnis neque ex voluntate viri sed ex Deo nati sunt	false	false	false	false	 
 john	jh01_15	b.JOH.1.15	not preselected	turus	Ἰωάννης μαρτυρεῖ περὶ αὐτοῦ καὶ κέκραγεν λέγων· οὗτος ἦν ὃν εἶπον· ὁ ὀπίσω μου ἔμπροσθέν μου γέγονεν, ὅτι πρῶτός μου ἦν.	Iohannes testimonium perhibet de ipso et clamat dicens hic erat quem dixi vobis qui post me ven turus est ante me factus est quia prior me erat	false	false	false	false	 
 john	jh01_27	b.JOH.1.27	not preselected	turus	ὁ ὀπίσω μου ἐρχόμενος, οὗ οὐκ εἰμὶ ἐγὼ ἄξιος ἵνα λύσω αὐτοῦ τὸν ἱμάντα τοῦ ὑποδήματος.	ipse est qui post me ven turus est qui ante me factus est cuius ego non sum dignus ut solvam eius corrigiam calciamenti	false	false	false	false	 
 john	jh01_43	b.JOH.1.43	ἐθέλω	volo	Τῇ ἐπαύριον ἠθέλησεν ἐξελθεῖν εἰς τὴν Γαλιλαίαν καὶ εὑρίσκει Φίλιππον. καὶ λέγει αὐτῷ ὁ Ἰησοῦς· ἀκολούθει μοι.	in crastinum voluit exire in Galilaeam et invenit Philippum et dicit ei Iesus sequere me	true	true	false	false	 
 john	jh01_46	b.JOH.1.46	δύναμαι	possum	καὶ εἶπεν αὐτῷ Ναθαναήλ· ἐκ Ναζαρὲτ δύναταί τι ἀγαθὸν εἶναι ; λέγει αὐτῷ ὁ Φίλιππος· ἔρχου καὶ ἴδε.	et dixit ei Nathanahel a Nazareth potest aliquid boni esse dicit ei Philippus veni et vide	true	true	false	false	 
 john	jh02_16	b.JOH.2.16	not preselected	nolo	καὶ τοῖς τὰς περιστερὰς πωλοῦσιν εἶπεν· ἄρατε ταῦτα ἐντεῦθεν, μὴ ποιεῖτε τὸν οἶκον τοῦ πατρός μου οἶκον ἐμπορίου.	et his qui columbas vendebant dixit auferte ista hinc nolite facere domum Patris mei domum negotiationis	false	false	false	false	 
 john	jh02_25	b.JOH.2.25	χρείαν ἔχω	opus est	καὶ ὅτι οὐ χρείαν εἶχεν ἵνα τις μαρτυρήσῃ περὶ τοῦ ἀνθρώπου · αὐτὸς γὰρ ἐγίνωσκεν τί ἦν ἐν τῷ ἀνθρώπῳ.	et quia opus ei non erat ut quis testimonium perhiberet de homine ipse enim sciebat quid esset in homine	true	true	false	false	 
 john	jh03_02	b.JOH.3.2	δύναμαι	possum	οὗτος ἦλθεν πρὸς αὐτὸν νυκτὸς καὶ εἶπεν αὐτῷ· ῥαββί, οἴδαμεν ὅτι ἀπὸ θεοῦ ἐλήλυθας διδάσκαλος· οὐδεὶς γὰρ δύναται ταῦτα τὰ σημεῖα ποιεῖν ἃ σὺ ποιεῖς, ἐὰν μὴ ᾖ ὁ θεὸς μετ’ αὐτοῦ .	hic venit ad eum nocte et dixit ei rabbi scimus quia a Deo venisti magister nemo enim potest haec signa facere quae tu facis nisi fuerit Deus cum eo	true	true	false	false	 
 john	jh03_03	b.JOH.3.3	δύναμαι	possum	ἀπεκρίθη Ἰησοῦς καὶ εἶπεν αὐτῷ· ἀμὴν ἀμὴν λέγω σοι, ἐὰν μή τις γεννηθῇ ἄνωθεν, οὐ δύναται ἰδεῖν τὴν βασιλείαν τοῦ θεοῦ .	respondit Iesus et dixit ei amen amen dico tibi nisi quis natus fuerit denuo non potest videre regnum Dei	true	true	false	false	 
 john	jh03_04	b.JOH.3.4	δύναμαι	possum	Λέγει πρὸς αὐτὸν ὁ Νικόδημος· πῶς δύναται ἄνθρωπος γεννηθῆναι γέρων ὤν ; μὴ δύναται εἰς τὴν κοιλίαν τῆς μητρὸς αὐτοῦ δεύτερον εἰσελθεῖν καὶ γεννηθῆναι ;	dicit ad eum Nicodemus quomodo potest homo nasci cum senex sit numquid potest in ventrem matris suae iterato introire et nasci	true	true	false	false	 
